Project Number,Project Name,Supplier Name,Purchasing Contract Record Series,Award Date,Termination Date,Estimated Project Completion,Project Completion
160037-JL,2015 Employee Engagement Survey,"Modern Survey, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/31/2015,,
160041-CB,Engagement Agreement for Critical Incident Stress Management Training Seminar,Joanna O'Flaherty,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,08/31/2015,,
150206-CB,Organizational and Technical Assessment of the LVF&R FAO Contract,Mirror Consulting Group,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/03/2015,,06/30/2016
160007-SK,Tymco Sweeper,"Tymco, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/03/2015,,06/30/2016
160008-SK,Vactor Trucks,Haaker Equipment Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/03/2015,,06/30/2016
160032-GL,Inmate Library Services,LV-Clark County Library District,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/07/2015,,06/30/2018
150000-TF,Downtown Public Address System,Teledata Technologies,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/09/2015,,
150000-TF,Downtown Public Address System,Teledata Technologies,BID FILES,,09/09/2015,,
150219-DC,BSC for Subsurface Utility Engineering Consulting Services,Cardno Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/09/2015,,09/09/2020
160036-TF,BSA for Annual Maintenance Engineering Services,Slater Hanifan Group Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/09/2015,,08/01/2020
160015--JH,PDSA for Sewer Rehab Group A,Black & Veatch,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/15/2015,,08/19/2019
160047-CB,Executive Recruitment for Director of Information Technologies,Cooperative Personnel Services dba CPS HR Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/15/2015,,
160050-JL,2015 CLV Citizen Survey,Etc Institute,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/16/2015,,
160044-TF,BSC for On-Call Indpendent Cost Estimating & B&C Services,O'Connor Construction,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/17/2015,,08/01/2021
160030-JL,Investigative Database,TransUnion Risk and Alternative Data Solutions Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/22/2015,,04/30/2020
160043-CB,Contract for Oracle Consulting Services,"OSI Consulting, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/24/2015,,
15.69111.01-JH,CMDH and Centennial Hills Outdoor Pools Replaster,Adams Tile & Plaster of Las Vegas Inc.DBA Adams Pool Solutions,BID FILES,,09/30/2015,,
15.69111.01-JH,CMDH and Centennial Hills Outdoor Pools Replaster,Adams Tile & Plaster of Las Vegas Inc.DBA Adams Pool Solutions,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,09/30/2015,,
160040-TF,Real Estate Appraisal Svcs SID 812,Continental Realty Advosors - VSG,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/30/2015,,
160049-JL,Social Media to Broadcast Conversion Software,Vidpresso Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,09/30/2015,,09/30/2019
160025-DG,Playground and Recreation Related Equipment,American Ramp Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/01/2015,,
160059-GL,Speaker Agreement Lead Like a Rock Star Leadership Training,Kristi Staab Enterprises LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/01/2015,,
15.53506-TF,500 Main Garage IT Room Conversion,"KC Maintenance, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,10/08/2015,,05/30/2016
15.53506-TF,500 Main Garage IT Room Conversion,"KC Maintenance, Inc.",BID FILES,,10/08/2015,,05/30/2016
160056-DC,PDSC for Charleston Heights Community Center Renovation,SH Architecture,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/08/2015,,10/08/2017
160076-TF,PSA Symphony Park Parking Garage Master Plan STudy,Walker Parking Consultiants,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/13/2015,,
160051-CB,Design and Build of the City of Las Vegas Employee Portal,"3Di, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/14/2015,,
160226-FL,SHI -WSCA Approved Software,SHI International,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/14/2015,,
160058-TF,Surveying & 3D Modeling Services,VTN Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/15/2015,,10/01/2017
160054-PH,EDDI Data Cleansing Services,Trillium Software,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/19/2015,,
15.1762.05-JH,2016 Annual Sanitarity Sewer Rehabilitation,Las Vegas Paving Corporation,BID FILES,,10/20/2015,,06/30/2018
15.1762.05-JH,2016 Annual Sanitarity Sewer Rehabilitation,Las Vegas Paving Corporation,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,10/20/2015,,06/30/2018
160057-TF,PDS Doolittle Community Center Roof & HVAC Replacement,Pugsley Simpson Coulter,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/22/2015,,10/01/2016
160066-CB,Contract for Consulting Services for Homeless Survey Research,Applied Analysis,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/22/2015,,12/31/2015
160072-PH,Outsystems Master Subscription Agreement,Outsystems Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/22/2015,,10/22/2019
160075-CB,Contract for Consulting Services for the Southern Nevada Tourism Infrastructure Committee,"Strategic Advisory Group, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/22/2015,,
15.19201.01-JH,Children’s Memorial Park Walking Track Removal and Replacement,Patriot Contractors Inc,BID FILES,,10/26/2015,,
15.19201.01-JH,Children’s Memorial Park Walking Track Removal and Replacement,Patriot Contractors Inc,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,10/26/2015,,
160053-TB,CCMS for WPCF Digester Rehabilitation Project,CH2M Hill Engineers Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/27/2015,,10/27/2019
160061-TB,PDSC for Kyle Canyon Road Interchagne at US 95,"GCW, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/27/2015,,10/27/2019
160004-JH,RSOQ for Annual Telecommunication Cabling and Low Voltage,DataPLUS Communications,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,10/29/2015,,10/29/2019
160028-RF,Office Supplies,Staples Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/29/2015,,07/31/2020
160069-DC,"BSC for Material Testing and Inspection, Quality Assurance and Independent Assurance",Nova Geotechnical,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/29/2015,,10/29/2018
160071-DC,BSC for Material Testing and Special Inspections,Geotechnical & Environmental Services,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,10/29/2015,,10/29/2018
140201-RH-G,EDDI MSA Outsystems,Outsystems Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/04/2015,,11/04/2020
160034-DD,Fire Pumper Apparatus,Smeal Fire Apparatus Co.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/04/2015,,08/15/2016
160070-DC,"CMAA for Washington Storm Drain (AKA Freeway Channel-Washington, MLK to Rancho Drive)","HDR Engineering, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/09/2015,,11/09/2019
160097-JL,Formstack Software,Formstack LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/12/2015,,11/30/2019
15.59120-TF,Development Services Center Pylon and Building Signs,"YESCO, LLC",BID FILES,,11/17/2015,,
15.59120-TF,Development Services Center Pylon and Building Signs,"YESCO, LLC",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,11/17/2015,,
160082-DG,Detention Generators and ATS Switch Mutual Use Contract,"Caterpillar Power Solutions Cat, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/17/2015,,
160079-TF,PSA for Baker Park & Pool Reconstruction,LGA Architects,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/18/2015,,11/01/2016
160085-CB,Oracle University Unlimited Learning Subscription License and Services Agreement,"Oracle America, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/19/2015,,
160065-CB,Registration Information Subscriber Agreement,Law Enforcement Systems LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/24/2015,,08/31/2019
160089-GL,2016 Values Conference Participant-Dell,Chef Phillip Dell,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/24/2015,,
160106-PH,Oracle Middleware Developer,"Techstar Consulting, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,11/25/2015,,01/31/2018
15.57723-TF,Bettye Wilson Pylon Sign,Patrick Signs,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,12/02/2015,,
15.57723-TF,Bettye Wilson Pylon Sign,Patrick Signs,BID FILES,,12/02/2015,,
160073-SK,10 Wheel Dump Trucks,McCandless International Truck,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/02/2015,,12/31/2016
160073-SK,10 Wheel Dump Trucks,McCandless International Truck,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/02/2015,,12/31/2016
160096-GL,2016 Values Conference Speaker-Logan,Don Logan,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/02/2015,,
15.69111.02 -JH,DSC Cooling Tower Replacement,Mesa Energy Systems DBA Emcor Services Nevada,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,12/07/2015,,
15.69111.02 -JH,DSC Cooling Tower Replacement,Mesa Energy Systems DBA Emcor Services Nevada,BID FILES,,12/07/2015,,
150093-DD,RFP for Emergency Medical Supplies,Henry Schein,BID FILES,,12/07/2015,,12/06/2020
150093-DD,RFP for Emergency Medical Supplies,Henry Schein,BID FILES,,12/07/2015,,12/06/2020
150093-DD,RFP for Emergency Medical Supplies,Henry Schein,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/07/2015,,12/06/2020
160045-SK,Bulk RFG Unleaded Fuel,Truman Arnold Companies (TAC Energy),CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/07/2015,,11/18/2019
160063-JH,Development Services Center Elevator Modernization,HKA Elevator Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/07/2015,,12/08/2019
160088-DC,PDS for Bill Briare Family Park Improvements,Design Vision Inc. DBA Southwick Landscape Architects,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/07/2015,,12/07/2016
160093-JL,Investment Advisor Services,Buckhead Capital Management,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/07/2015,,12/31/2022
160100-TF,PDSA for Fire Training Center Remodel,KGA Architects,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/08/2015,,11/01/2016
160083-SK,Co-Digestion Reception Center Operation & Maintenance Services for WPCF,Organic Solution Management,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/12/2015,,
160019-JH,Legal Consultation Services for Symphony Park,Dickinson Wright PLLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/14/2015,,12/14/2019
150186-TF,RFP for Inmate Food Services,Institutional Foodservice Management,BID FILES,,12/16/2015,,12/16/2021
150186-TF,RFP for Inmate Food Services,Institutional Foodservice Management,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/16/2015,,12/16/2021
160024-SK,FY 2016 Vehicle Acquisitions,Jones West McCandless,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/16/2015,,12/16/2016
160090-RF,ARC for Bulk CO2,Helget Gas Products DBA: Speedy Fountain Service,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/16/2015,,12/26/2021
160119-FL,On-Call Oracle Consulting Services,Blue Heron Consulting Services,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/16/2015,,
160084-GL,2016 Values Conference Speaker - McCloud,Patricia Russell- Mcloud Esq,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/20/2015,,
160108-GL,2016 Values Conference Speaker - Wiley,Dr. Jack Wiley,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/22/2015,,
150030-JL,RFP for Case Management System,Journal Technologies,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/23/2015,,09/30/2017
150030-JL,RFP for Case Management System,Journal Technologies,BID FILES,,12/23/2015,,09/30/2017
150030-JL,RFP for Case Management System,Journal Technologies,BID FILES,,12/23/2015,,09/30/2017
16.56119-TF,Casino Center Blvd - Stewart Ave to US95 Improvements,Las Vegas Paving Corp,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,12/23/2015,,
16.56119-TF,Casino Center Blvd - Stewart Ave to US95 Improvements,Las Vegas Paving Corp,BID FILES,,12/23/2015,,
160077-TF,PDSC for Mayfair Place Park,Cardno Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/23/2015,,11/01/2016
160086-CB,Test Rental and Use Agreement,Cooperative Personnel Services dba CPS HR Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/23/2015,,
160107-DC,CMAA for Casino Center Boulevard Stewart Avenue to US 95,VTN Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/23/2015,,12/23/2017
160113-GL,2016 Values Conference Speaker - Bernacki,Jill Bernacki,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/23/2015,,
160128-JL,Courthouse Recording System Mainenance,Jefferson Audio Video System Inc (JAVS),CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/23/2015,,12/31/2016
160115-JL,Tagboard Software Master Agreement,Tagboard Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,12/29/2015,,
160087-TB,CMA for TWAS Rehabilitaion Project,"MWH Americas, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/05/2016,,06/30/2018
160078-JH,City of Las Vegas Adopt-a-Trail and Volunteer Program,Outside Las Vegas Foundation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/06/2016,,
160095-JL,Penetration Testing Software and Professional Services,"McAfee, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/06/2016,,04/30/2018
160118-CB,Online Training Program,"Thomas Reuters, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/06/2016,,01/27/2020
160124-CB,DevCraft Software,Telerik AD,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/06/2016,,
160132-FL,Experis Oracle Middleware Developer,"Experis US, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/06/2016,,
14.46820-TB,Bicycle Pedestrian and Vehicle Safety Upgrade at UPRR Crossing of Wyoming/Oakey,Aggregate Industries,BID FILES,,01/07/2016,,11/30/2016
14.46820-TB,Bicycle Pedestrian and Vehicle Safety Upgrade at UPRR Crossing of Wyoming/Oakey,Aggregate Industries,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,01/07/2016,,11/30/2016
160116-GL,Engagement Agreement 2016 Values Conference - Thoreson,Karen Thoreson,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/07/2016,,
160092-GL,2016 Values Conference Speaker - Staab,Kristi Staab Enterprises LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/11/2016,,
160125-SK,Broom Bear Sweeper Mutual Use Contract,Haaker Equipment Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/13/2016,,07/31/2016
160099-TB,PDSC for Centennial Parkway Channel West-US95 CC215-Durango,CH2M Hill Engineers Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/14/2016,,01/14/2020
160126-TB,PDSC for Downtown Interceptor Sewer Rehabilitation Phase 2,"Carollo Engineers, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/14/2016,,01/14/2020
13.48691-TB-C,CMAR for Detention and Enforcement Isolation Cell Addition,"Sletten Construction of Nevada, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,01/19/2016,,06/30/2017
160120-DD,MUC for Fire Hose,L.N Curtis and Sons,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/21/2016,,12/30/2019
160122-DC,BCS for Partnering Facilitation Services,Total Quality Resources,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/27/2016,,01/27/2019
15.34228-JH,University Medical Center Sanitary Sewer Replacement and Charleston Median Renovations,"Tand, Inc.",BID FILES,,01/28/2016,,11/30/2016
15.34228-JH,University Medical Center Sanitary Sewer Replacement and Charleston Median Renovations,"Tand, Inc.",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,01/28/2016,,11/30/2016
160114-DG,Siemens Fire Alarms,"Siemens Industry, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/28/2016,,12/01/2018
160102-RF-A,RFQ for Towing Services,Ewing Brothers,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,01/30/2016,,01/31/2021
16.48932-TF,Las Vegas Bike Lanes,Las Vegas Paving Corp,BID FILES,,02/02/2016,,
16.48932-TF,Las Vegas Bike Lanes,Las Vegas Paving Corp,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,02/02/2016,,
160101-SK,Altec Aerial Lift Trucks,"Altec Industries, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/04/2016,,
160105-SK,DHWRC Generator,"Caterpillar, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/04/2016,,11/30/2016
160136-TF,PSA for Fire Station 3 Replacement,TJK Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/04/2016,,02/03/2017
160142-RF,NIGP Seminar Agreement,NIGP,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/04/2016,,12/22/2017
160147-FL,ACL Software License Agreement,ACL,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/04/2016,,03/31/2022
160146-GL,Occupancy System Pilot Program,"Surespot, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/09/2016,,08/09/2016
16.59477-TF,Repair/Reconstruction/Maintenance of Regional Flood Control Facilities,Lone Mountain Excavation & Utilities LLC,BID FILES,,02/10/2016,,12/31/2020
16.52608-TF,Pedestrain Safety Upgrades Pkg 2A-Curb Extensions,Drew Asphalt Paving Inc,BID FILES,,05/05/2016,,
16.59477-TF,Repair/Reconstruction/Maintenance of Regional Flood Control Facilities,Lone Mountain Excavation & Utilities LLC,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,02/10/2016,,12/31/2020
160131-DC,MTSA for Meadows Walkable Community,Western Technologies,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/18/2016,,02/18/2019
160138-CB,Interview Assistance System,"Readytomanage, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/18/2016,,01/31/2021
160168-TG,LCD Media Displays,Yesco LLC,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/18/2016,,
160134-JL,EFI Printsmith Software,Electronics for Imaging,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/22/2016,,03/31/2020
15.54648-TF,Summerlin Parkway Cable Barrier Safety Rail,Las Vegas Paving Corp,BID FILES,,02/23/2016,,02/28/2017
15.54648-TF,Summerlin Parkway Cable Barrier Safety Rail,Las Vegas Paving Corp,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,02/23/2016,,02/28/2017
160111-SK,Third Party Elevator Inspection and Testing,"TUV SUD America COG, Inc. (TUVAM)",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/23/2016,,01/31/2021
160064-JL,City By Design Consulting Services,JA Barrett Company,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/25/2016,,06/30/2016
160064-JL,City By Design Consulting Services,JA Barrett Company,BID FILES,,02/25/2016,,06/30/2016
160135-FL,Blue Heron IT Consulting Services,Blue Heron Consulting Services,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,02/25/2016,,
160110-SK,Magna Drive Couplings ARC,MagnaDrive Corporation,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/02/2016,,09/01/2021
160109-SK,2016 TYMCO Sweepers,"Tymco, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/03/2016,,07/31/2016
160171-FL,ORACLE Access Manager (OAM) Arisant Support,Arisant,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/03/2016,,
160102-RF-B,RFQ for Towing Services,Quality Towing,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/07/2016,,03/07/2021
160178-JL-A,Vehicle Repair Estimating Software for East Yard,Mitchell 1,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/09/2016,,03/31/2020
160178-JL-B,Vehicle Repair Estimating Software for West Yard,Mitchell 1,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/09/2016,,03/30/2020
160140-CB,Consulting Services for Development of Downtown Master Plan,Assemblage Stdio,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/10/2016,,
160166-CB,Professional Soccer Advisory Services,"Integrated Solutions Now, LLC",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/10/2016,,09/30/2016
15.45377-TF,Meadows Walkable Community,Unicon,BID FILES,,03/16/2016,,
15.45377-TF,Meadows Walkable Community,Unicon,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,03/16/2016,,
160152-DG,Courseware Software License Agreement,Corporate Training Materials,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/16/2016,,02/02/2020
160154-DC,CMAC for Main Street Phase 2 Las Vegas Boulevard to Bonneville Avenue,"Atkins North America, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/16/2016,,03/16/2021
140181-DG-B2,"Fire Sprinkler System Testing, Inspection and Repair","Ace Fire System, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/21/2016,,01/01/2020
160170-DD,Amusement Park Rides,Davis Amustments Cascadia Inc,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/21/2016,,
160185-DG,Faranics Software Agreement,Faronics,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/23/2016,,05/31/2019
160081-CB,RFP for Development of 1501 N Decatur Boulevard,,BID FILES,,03/28/2016,,
160157-JH,ROW Services for City of Las Vegas RTC Bus Shelter Acquisition,"Acquisition Sciences, Ltd",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/30/2016,,06/30/2017
160191-FL,Legislative Software Development Consulting Services,"Certified Project Resources, Inc. dba Fiala Project Resources, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/30/2016,,12/31/2017
160193-MC,KP 7170 Printer & Managed Print Services,Professional Document Products,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,03/30/2016,,04/04/2017
13.38420-DC-B,CMAR for Main/Commerce One-Way Couplet Las Vegas Boulevard to Bonneville Avenue,Las Vegas Paving Corporation,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,03/31/2016,,10/01/2018
15.1762.06-JH,Annual Concrete Replacement and Small Asphalt Patching,Mikon Construction Company,CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,04/04/2016,,06/30/2021
15.1762.06-JH,Annual Concrete Replacement and Small Asphalt Patching,Mikon Construction Company,BID FILES,,04/04/2016,,06/30/2021
160026-PH,Northwest Business Park Master Plan Services,VTN Nevada,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/06/2016,,
160026-PH,Northwest Business Park Master Plan Services,VTN Nevada,BID FILES,,04/06/2016,,
160176-DC,Boulder Highway Storm Drain-Sahara to Charleston,"Atkins North America, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/07/2016,,04/07/2021
160183-DC,PDSC for Washington Las Vegas Wash Park,JW Zunino,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/07/2016,,04/07/2019
160188-FL,Property Tax Analysis and Consulting Services,Applied Market Analysis LLC dba Applied Analysis,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/07/2016,,04/07/2017
160194-FL,Legislative Tracking Software Consulting Services,"Enterprise Technology Services, LCC dba Enterprise Technologies",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/07/2016,,
160172-DD,Mutual Use Contract for Ambulances,Demers Ambulance,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/11/2016,,09/30/2016
160175-FL,Oracle On Call Consulting,Blue Heron Consulting Services,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/14/2016,,04/14/2020
14.56923-JH (DC),Cimarron Community Center Improvements,"WITCCO, LLC",BID FILES,,04/19/2016,,
14.56923-JH (DC),Cimarron Community Center Improvements,"WITCCO, LLC",CONTRACTS AND AGREEMENTS - CAPITAL IMPROVEMENT,,04/19/2016,,
160112-PH,RFI for Insurance Broker and Consulting Services,,BID FILES,,04/19/2016,,
160190-DC,PDSC for Charleston Boulevard-Rancho to Shadow Medical District Pedestrian Upgrades,"HDR Engineering, Inc.",CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/25/2016,,04/25/2021
160192-TF,BSC for SID & Related Consulting Services,Gomez Consulting,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/25/2016,,04/25/2021
160196-DC,"PDSC for Intersection Improvements Charleston, Torrey Pines, Jones and Lake Mead",Slater Hanifan Group Inc.,CONTRACTS AND AGREEMENTS - NON-CAPITAL IMPROVEMENT,,04/25/2016,,04/25/2021
